Iteration	Posterior	Likelihood	Prior	b_long	b_med	b_short	height_bg	height_mol	root_age
197	-126854.6	-127804.3	949.7017	0.001324184	0.08651284	0.912163	1.165971	0.3733755	79.44703
198	-126893.4	-127839	945.5662	0.0384591	0.0723395	0.8892014	1.387603	0.3730029	44.01697
199	-126899	-127847.1	948.1265	0.01543681	0.07440648	0.9101567	1.39088	0.3738836	60.49946
200	-126917.8	-127865.9	948.086	0.01513723	0.09547147	0.8893913	1.064281	0.3724544	55.48665
201	-126912.3	-127861.1	948.8343	0.0002447127	0.1257712	0.8739841	1.253876	0.3718653	46.34314
202	-126871.7	-127821.5	949.743	0.0009762011	0.08139897	0.9176248	1.273756	0.377761	63.65515
203	-126865.5	-127815	949.4731	0.0004560574	0.1064401	0.8931038	1.279484	0.3866044	85.50694
204	-126885.5	-127833.3	947.8733	0.0177959	0.0890082	0.8931959	1.16743	0.3893219	42.18565
205	-126877.5	-127825.3	947.759	0.01501433	0.05937761	0.9256081	1.251508	0.3901474	40.23707
206	-126866.2	-127814.5	948.2618	0.01394459	0.09219296	0.8938624	1.425634	0.3915528	50.54567
207	-126862.7	-127809.6	946.8132	0.01615953	0.04657779	0.9372627	1.09229	0.3795358	73.20081
208	-126872.2	-127820.1	947.8754	0.01303467	0.0573601	0.9296052	1.171769	0.3827052	57.28422
209	-126886.1	-127835.7	949.542	0.001042058	0.1008062	0.8981517	1.29782	0.3753121	74.67596
210	-126900.4	-127848.1	947.6377	0.01889777	0.09672162	0.8843806	1.100002	0.3819362	44.86371
211	-126854.2	-127803	948.7971	0.009480943	0.07699323	0.9135258	1.097234	0.3735277	53.26343
212	-126880.5	-127829.7	949.2175	0.004235988	0.09947696	0.896287	1.202107	0.368627	49.36002
213	-126880.1	-127829.2	949.0496	0.0007280951	0.1188495	0.8804224	1.202793	0.3750236	92.22605
214	-126877.9	-127826.8	948.8048	0.003858937	0.1158666	0.8802745	1.169741	0.3690104	59.69648
215	-126881.2	-127828.5	947.2708	0.02347292	0.08512977	0.8913973	1.263244	0.382758	49.34197
216	-126876.7	-127821.7	944.9847	0.0399489	0.1066933	0.8533578	1.320845	0.3821372	111.2349
217	-126876.6	-127825	948.3227	0.004086358	0.04952499	0.9463887	1.056649	0.3884468	97.53874
218	-126881.1	-127829.3	948.181	0.01060086	0.05838777	0.9310114	1.327988	0.3760818	86.83133
219	-126872.4	-127818.7	946.3167	0.02272573	0.04903749	0.9282368	1.242357	0.3712697	78.96952
220	-126877.4	-127825.8	948.3696	0.003628172	0.04950808	0.9468637	1.207028	0.3734056	40.52734
221	-126878.9	-127827.6	948.6487	0.005744433	0.05742003	0.9368355	1.175449	0.3739965	122.4018
222	-126936.4	-127885.1	948.7287	0.000313556	0.12808	0.8716065	1.172415	0.373031	74.09523
223	-126936	-127884.9	948.8689	0.005621227	0.06187728	0.9325015	1.285841	0.3654939	43.1822
224	-126912.2	-127861.9	949.6968	0.001314419	0.08782539	0.9108602	1.345302	0.3710381	60.21056
225	-126938.7	-127885.1	946.4461	0.02559052	0.1129066	0.8615029	1.269211	0.3646106	49.0685
226	-126898.1	-127847.9	949.7864	0.0001762643	0.09179641	0.9080273	1.240529	0.3627814	47.62288
227	-126899.1	-127848.2	949.026	0.004573089	0.1062339	0.889193	1.181107	0.3699408	50.36216
228	-126869	-127814.8	945.7974	0.02122063	0.04165377	0.9371256	1.233863	0.3706282	68.86917
229	-126855.8	-127803.4	947.5362	0.000297792	0.1516857	0.8480165	1.235303	0.3710606	42.79899
230	-126866.3	-127814.7	948.3542	0.01133155	0.1029504	0.885718	1.14825	0.3756384	62.36477
231	-126862.4	-127811.7	949.3153	0.004482143	0.07471533	0.9208025	1.352364	0.3809277	69.86368
232	-126878	-127827	948.9958	0.007867899	0.08210989	0.9100222	1.316454	0.3749907	73.89851
233	-126865.4	-127813.7	948.2652	0.01435509	0.08811946	0.8975254	1.187234	0.3725946	62.68318
234	-126873.4	-127822.9	949.5615	0.0007657498	0.1014002	0.8978341	1.148564	0.3634836	67.63929
235	-126864	-127812.6	948.5366	0.01151925	0.09197869	0.8965021	1.294107	0.376068	55.83373
236	-126879.8	-127826.7	946.8591	0.01754436	0.04888202	0.9335736	1.167405	0.3660291	57.40384
237	-126881.2	-127830.8	949.6853	0.001495166	0.08035407	0.9181508	1.232422	0.3600532	45.91068
238	-126857.5	-127806	948.5327	0.01135264	0.093672	0.8949754	1.262119	0.3667106	88.70673
239	-126883	-127829.8	946.732	0.02815282	0.07446243	0.8973847	1.402953	0.3716329	40.89176
240	-126906	-127855.6	949.5186	0.0014485	0.0998206	0.8987309	1.413768	0.3712023	62.61391
241	-126895.6	-127844.9	949.2167	0.005838949	0.08392701	0.910234	1.004914	0.3741669	44.52568
242	-126863.4	-127813.1	949.6325	0.0009821328	0.09635152	0.9026664	1.097431	0.3682237	61.87426
243	-126887.1	-127836.9	949.7972	0.0004895086	0.08541631	0.9140942	1.305676	0.3582079	47.46151
244	-126914.2	-127862.1	947.8442	0.01566744	0.1039069	0.8804257	1.12644	0.3618356	62.07359
245	-126894	-127843.1	949.1634	0.005918566	0.07487239	0.919209	1.279653	0.356141	73.5445
246	-126890.5	-127836.1	945.5565	0.03886273	0.07611978	0.8850175	1.305801	0.365025	58.90339
247	-126899.3	-127848.7	949.4024	0.003138648	0.09605966	0.9008017	1.15124	0.3607797	43.92954
248	-126918.7	-127867.5	948.7907	0.008881454	0.09476892	0.8963496	1.227033	0.3610571	55.33362
249	-126899.8	-127846.6	946.8026	0.0271035	0.09219837	0.8806981	1.200633	0.356694	60.70297
250	-126881.8	-127829.6	947.7446	0.01797248	0.09694594	0.8850816	1.127028	0.3535231	59.23809
251	-126877.6	-127826.3	948.7029	0.0005461888	0.1280891	0.8713648	0.9971663	0.3634921	78.22598
252	-126892.8	-127842.4	949.5539	0.002320926	0.09158026	0.9060988	1.298876	0.3672463	119.9041
253	-126871	-127819	948.0429	0.01652533	0.0783977	0.905077	1.145617	0.3646141	58.35251
254	-126925.3	-127874.3	948.9628	0.007582631	0.09283994	0.8995774	1.214529	0.3725025	79.09071
255	-126892.9	-127842.3	949.4094	0.0002709763	0.109549	0.89018	1.268972	0.3616212	56.68266
256	-126917.2	-127866.5	949.2368	0.00354329	0.06622678	0.9302299	1.184772	0.3699706	53.18068
257	-126879.5	-127827.8	948.314	0.009880462	0.05945363	0.9306659	1.189522	0.3706168	45.86283
258	-126925.2	-127874.7	949.4849	0.002505312	0.07196916	0.9255255	1.130487	0.3737003	49.31729
259	-126902.9	-127849.8	946.9787	0.002206768	0.1573219	0.8404713	1.130884	0.38126	67.13549
260	-126906.5	-127854.4	947.8382	0.009486812	0.05056241	0.9399508	1.135578	0.3770422	41.07772
261	-126885.5	-127832.1	946.5944	0.01746749	0.04565417	0.9368783	1.181712	0.3731706	74.72391
262	-126892.5	-127839.7	947.1704	0.01816811	0.1162386	0.8655933	1.223636	0.3731273	104.8227
