Iteration	Posterior	Likelihood	Prior	b_long	b_med	b_short	height_bg	height_mol	root_age
241	-126806.5	-127748.3	941.7447	1	0	0	1.260738	0.4642659	63.17725
242	-126842.8	-127784.5	941.7452	1	0	0	1.406121	0.466337	58.62273
243	-126816.7	-127758.4	941.746	1	0	0	1.239047	0.4548432	194.7869
244	-126824.9	-127766.7	941.7436	1	0	0	1.22894	0.4564913	124.2186
245	-126858.3	-127800.1	941.7446	1	0	0	1.26403	0.4597058	229.559
246	-126842.8	-127784.6	941.7422	1	0	0	1.272173	0.4626675	162.3326
247	-126840.8	-127782.6	941.7452	1	0	0	1.3071	0.4620006	204.9139
248	-126849.9	-127791.6	941.7426	1	0	0	1.219423	0.4625244	210.1421
249	-126843.6	-127785.3	941.7424	1	0	0	1.490131	0.4648147	66.70316
250	-126828.7	-127770.5	941.7422	1	0	0	1.161472	0.4608481	142.8223
251	-126829.4	-127771.1	941.7442	1	0	0	1.118527	0.4521711	141.2178
252	-126870.8	-127812.6	941.7436	1	0	0	1.153164	0.4661735	71.84138
253	-126893.6	-127835.3	941.7454	1	0	0	1.13618	0.4604388	187.0007
254	-126866.4	-127808.2	941.7417	1	0	0	1.374357	0.4720368	226.5793
255	-126873.2	-127814.9	941.7417	1	0	0	1.175077	0.4683638	188.1883
256	-126851.7	-127793.5	941.7441	1	0	0	1.326614	0.455835	152.6207
257	-126855.3	-127797.1	941.7433	1	0	0	1.26789	0.4715322	177.4121
258	-126833.6	-127775.4	941.7433	1	0	0	1.25484	0.4666789	232.424
259	-126859.6	-127801.4	941.7431	1	0	0	1.232439	0.4615839	118.8554
260	-126857	-127798.7	941.7435	1	0	0	1.315179	0.46084	3.255321
261	-126886.1	-127827.9	941.7426	1	0	0	1.260721	0.473817	5.915398
262	-126849.6	-127791.3	941.7405	1	0	0	1.241123	0.4828568	58.9893
263	-126847.5	-127789.3	941.7383	1	0	0	1.203417	0.4922446	205.6042
264	-126882.4	-127824.1	941.7426	1	0	0	1.262441	0.4785423	136.7027
265	-126872.1	-127813.8	941.7413	1	0	0	1.150435	0.4767369	177.7448
266	-126873.2	-127815	941.7428	1	0	0	1.211054	0.4675414	233.5402
267	-126868.7	-127810.5	941.7422	1	0	0	1.230346	0.4583592	160.2191
268	-126847.5	-127789.2	941.7431	1	0	0	1.172487	0.45495	44.92513
269	-126835.9	-127777.6	941.7431	1	0	0	1.372725	0.4669953	91.49115
270	-126845.4	-127787.2	941.7412	1	0	0	1.110448	0.4649629	207.66
271	-126840.7	-127782.4	941.7419	1	0	0	1.277294	0.4619825	150.5465
272	-126854.8	-127796.6	941.7437	1	0	0	1.264267	0.4586528	100.577
273	-126850.3	-127792.1	941.7443	1	0	0	1.161713	0.4633582	177.6907
274	-126864.2	-127805.9	941.745	1	0	0	1.320321	0.4597613	225.4611
275	-126886.9	-127828.6	941.7437	1	0	0	1.27824	0.4631925	22.94727
276	-126900.1	-127841.8	941.7451	1	0	0	1.218324	0.4414808	135.0531
277	-126864.7	-127806.4	941.7447	1	0	0	1.199057	0.456457	132.6325
278	-126886.2	-127827.9	941.7429	1	0	0	1.324157	0.4472393	92.48248
279	-126887.6	-127829.3	941.746	1	0	0	1.386257	0.4470491	166.1377
280	-126888.2	-127829.9	941.7447	1	0	0	1.204826	0.4513583	135.8495
281	-126865.1	-127806.9	941.746	1	0	0	1.260344	0.4510731	214.9969
282	-126838.3	-127780.1	941.7442	1	0	0	1.219321	0.4600291	76.45153
283	-126832.9	-127774.6	941.743	1	0	0	1.052289	0.4656098	221.8154
284	-126823	-127764.7	941.7422	1	0	0	1.267826	0.4534607	225.8776
285	-126873.9	-127815.6	941.7449	1	0	0	1.119907	0.4581366	36.20396
286	-126852	-127793.8	941.7462	1	0	0	1.379133	0.4537127	95.48781
287	-126868	-127809.8	941.7425	1	0	0	1.352534	0.4480273	20.0742
288	-126839.7	-127781.4	941.7428	1	0	0	1.127776	0.4563148	83.72142
289	-126869.4	-127811.2	941.7419	1	0	0	1.111268	0.4496353	55.06411
290	-126871.2	-127812.9	941.7475	1	0	0	1.171318	0.4473267	231.4316
291	-126881.7	-127823.4	941.7469	1	0	0	1.278716	0.4412903	79.46665
292	-126836	-127777.8	941.7444	1	0	0	1.104392	0.4520885	236.7195
293	-126822.9	-127764.6	941.7461	1	0	0	1.241154	0.441506	198.3744
294	-126850	-127791.7	941.7455	1	0	0	1.283089	0.4426074	100.1577
295	-126870.1	-127811.9	941.7455	1	0	0	1.203273	0.4415137	104.5404
296	-126870.5	-127812.2	941.7464	1	0	0	1.360396	0.4393849	173.5573
297	-126876.8	-127818.6	941.7459	1	0	0	1.326514	0.4436865	186.6881
298	-126835.6	-127777.3	941.7459	1	0	0	1.229116	0.4500712	61.22408
299	-126836.6	-127778.3	941.7432	1	0	0	1.320916	0.4508816	14.69007
300	-126839.2	-127780.9	941.7433	1	0	0	1.46803	0.46119	4.044429
301	-126802.5	-127744.2	941.7436	1	0	0	1.424432	0.4608964	17.0041
302	-126818.1	-127759.8	941.7428	1	0	0	1.556282	0.4605498	157.8838
303	-126843.2	-127784.9	941.7451	1	0	0	1.438436	0.4564959	147.8161
304	-126837.1	-127778.9	941.7427	1	0	0	1.336287	0.4743392	234.8804
305	-126830.5	-127772.2	941.7423	1	0	0	1.330406	0.4659904	93.52178
306	-126835.7	-127777.4	941.7423	1	0	0	1.337093	0.4745287	152.7887
307	-126862.1	-127803.9	941.7419	1	0	0	1.171229	0.4735565	183.7307
308	-126886.4	-127828.2	941.7434	1	0	0	1.378504	0.4809351	201.0743
309	-126849.8	-127791.6	941.7437	1	0	0	1.287585	0.4862115	226.9754
310	-126851.1	-127792.8	941.742	1	0	0	1.242333	0.4628882	231.2143
311	-126860.8	-127802.5	941.7399	1	0	0	1.482836	0.4811339	186.7945
312	-126863.1	-127804.9	941.7427	1	0	0	1.35535	0.4715851	100.6141
313	-126850.8	-127792.6	941.7455	1	0	0	1.139675	0.4615115	193.6972
314	-126833.5	-127775.2	941.7459	1	0	0	1.272501	0.4637797	127.3561
315	-126805.9	-127747.6	941.7443	1	0	0	1.072075	0.4566705	135.3594
316	-126825.6	-127767.3	941.7436	1	0	0	1.281827	0.4492024	132.9953
317	-126833.9	-127775.6	941.7455	1	0	0	1.247639	0.4602183	204.8008
318	-126837.7	-127779.4	941.7442	1	0	0	1.268602	0.4449084	13.7365
319	-126826.2	-127767.9	941.7434	1	0	0	1.239306	0.4554145	108.6408
320	-126881.5	-127823.2	941.7451	1	0	0	1.411542	0.460063	42.05166
321	-126849.9	-127791.6	941.7412	1	0	0	1.322887	0.4732163	23.15403
322	-126828.8	-127770.6	941.7411	1	0	0	1.205769	0.4701893	21.89869
323	-126871.9	-127813.7	941.7443	1	0	0	1.293833	0.4696958	223.7792
324	-126852.9	-127794.7	941.743	1	0	0	1.484087	0.4777219	190.4704
325	-126852.5	-127794.3	941.742	1	0	0	1.299442	0.4677506	106.9807
326	-126872.7	-127814.5	941.7438	1	0	0	1.409475	0.4684553	120.0603
327	-126872.1	-127813.8	941.7447	1	0	0	1.235865	0.4563045	147.5947
328	-126856.4	-127798.2	941.743	1	0	0	1.393539	0.4550229	136.1262
329	-126871.6	-127813.3	941.7444	1	0	0	1.205555	0.453581	153.9258
330	-126837.4	-127779.1	941.7436	1	0	0	1.0676	0.4529667	13.83174
331	-126830.1	-127771.9	941.744	1	0	0	1.23406	0.4612672	180.4881
332	-126830.4	-127772.1	941.7449	1	0	0	1.166677	0.4560977	146.8573
333	-126840.1	-127781.9	941.7428	1	0	0	1.526221	0.4674121	73.85425
334	-126831.7	-127773.4	941.7434	1	0	0	1.141233	0.4684709	56.44282
335	-126838.6	-127780.3	941.7444	1	0	0	1.055311	0.4592741	22.16319
336	-126855.4	-127797.1	941.7409	1	0	0	1.157517	0.4670364	57.28666
337	-126861.8	-127803.5	941.7438	1	0	0	1.263925	0.4629781	98.89295
338	-126830.7	-127772.5	941.745	1	0	0	1.14583	0.4652507	176.3037
339	-126855.4	-127797.1	941.7443	1	0	0	1.203573	0.4650576	43.43176
