Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta	hidden_rate	Q[1]	Q[2]	R[1]	R[2]	rate_01	rate_10	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta
590	-6351.746	-6353.459	1.712792	0.00127849	0.0393011	0.000765035	0.0235174	-6.66208	-3.2365	-0.5135122	0.000862792	0.00315027	0.00233546	0.000862792	0.000862792	0.003150269	0.002335458	0.075037	0.668791	0.0714675	0.184704	0.0451765	0.0613854	0.0752496	0.102248	-3.09718	-2.79058	0.5102336
600	-6357.239	-6353.688	-3.551016	0.00153642	0.0111521	0.000201674	0.00146385	-6.4783	-4.49613	-2.030556	0.002016376	0.00225383	0.00360656	0.00201638	0.00201638	0.002253833	0.00360656	0.423427	0.108188	0.424097	0.044287	0.0451378	0.0548677	0.0775538	0.0942713	-3.09804	-2.90283	0.5412527
610	-6353.797	-6348.923	-4.874334	0.000291081	0.0358501	0.00027579	0.0339668	-8.14191	-3.32841	-0.05396276	0.001522698	0.00338516	0.00398757	0.0015227	0.0015227	0.003385162	0.003987574	0.520778	0.0265231	0.117189	0.335509	0.0462413	0.0689985	0.0618046	0.0922211	-3.07388	-2.67367	0.2901049
620	-6349.513	-6350.307	0.7943636	0.00427254	0.0510174	0.00438769	0.0523924	-5.45555	-2.97559	0.02659548	0.001029012	0.00233955	0.00406801	0.00102901	0.00102901	0.002339546	0.004068011	0.251933	0.48578	0.0713097	0.190977	0.045122	0.0766779	0.0645054	0.109617	-3.09838	-2.56814	0.3573786
630	-6353.809	-6355.619	1.809523	0.00215663	0.0652333	0.0056152	0.169847	-6.13921	-2.72978	0.9569274	0.0004271048	0.00393719	0.00197042	0.000427105	0.000427105	0.003937187	0.001970422	0.177688	0.474863	0.00273001	0.34472	0.046704	0.10034	0.0853248	0.183313	-3.06393	-2.29919	0.6026351
640	-6353.922	-6352.874	-1.04865	0.00241652	0.0460121	0.000989553	0.0188417	-6.02543	-3.07885	-0.8928307	0.0005009506	0.00251868	0.00473544	0.000500951	0.000500951	0.00251868	0.004735436	0.305914	0.310125	0.320242	0.0637196	0.0522278	0.0878268	0.107212	0.180288	-2.95214	-2.43239	0.71919
650	-6353.968	-6355.67	1.701287	0.00083564	0.0236714	0.000263758	0.00747153	-7.08731	-3.74349	-1.153166	0.0006724613	0.00330225	0.00186028	0.000672461	0.000672461	0.003302253	0.00186028	0.669758	0.246387	0.0159558	0.0678996	0.0403699	0.0522149	0.0657134	0.0849946	-3.20967	-2.95239	0.487219
660	-6352.474	-6355.637	3.162974	0.00191606	0.00518657	0.000813736	0.0022027	-6.25749	-5.26168	-0.8563884	0.0006180417	0.00215474	0.00259703	0.000618042	0.000618042	0.002154742	0.002597026	0.512981	0.111381	0.0884802	0.287158	0.0432945	0.0485512	0.0661927	0.0742297	-3.13973	-3.02514	0.4245459
670	-6349.353	-6351.796	2.442353	0.00174218	0.0547734	0.00173064	0.0544106	-6.35262	-2.90455	-0.006646532	0.0004745127	0.00289352	0.00275571	0.000474513	0.000474513	0.002893517	0.002755708	0.292334	0.262037	0.363328	0.0823011	0.0477042	0.086949	0.0944951	0.172233	-3.04274	-2.44243	0.683528
680	-6351.681	-6353.491	1.809587	0.00120298	0.0140759	0.00129076	0.015103	-6.72295	-4.26329	0.07043226	0.0003666283	0.00222749	0.0034634	0.000366628	0.000366628	0.00222749	0.003463396	0.770618	0.104919	0.0842193	0.0402432	0.0441415	0.0673288	0.099894	0.152368	-3.12035	-2.69817	0.8167082
690	-6350.753	-6350.912	0.1583806	0.00400416	0.0402512	0.00324533	0.0326232	-5.52042	-3.21261	-0.2101157	0.001555821	0.0026228	0.00354183	0.00155582	0.00155582	0.002622801	0.003541826	0.109688	0.0191809	0.14298	0.728151	0.0466562	0.0716802	0.0649995	0.0998621	-3.06495	-2.63554	0.3315749
700	-6349.33	-6352.652	3.3222	0.00249588	0.0279243	0.00139751	0.0156355	-5.99311	-3.57826	-0.5799532	0.0008363161	0.0024719	0.00254818	0.000836316	0.000836316	0.002471897	0.002548176	0.520316	0.0236928	0.344201	0.111791	0.0460375	0.055648	0.0695017	0.0840104	-3.0783	-2.88871	0.4118952
710	-6354.094	-6355.565	1.471273	0.000940951	0.0240568	0.00192781	0.0492873	-6.96862	-3.72734	0.7172502	0.0008127252	0.00222498	0.00295536	0.000812725	0.000812725	0.002224981	0.00295536	0.121359	0.0384644	0.557849	0.282327	0.0468447	0.0671119	0.121484	0.174044	-3.06092	-2.70139	0.9529488
720	-6355.53	-6355.997	0.4671345	0.00241401	0.0132984	0.00052563	0.0028956	-6.02647	-4.32012	-1.524448	0.0004773798	0.00151154	0.00459658	0.00047738	0.00047738	0.001511543	0.004596581	0.382355	0.0222885	0.257671	0.337685	0.0477812	0.0665054	0.0818393	0.11391	-3.04112	-2.71047	0.5381247
