Iteration	Posterior	Likelihood	Prior	age_Argia	age_Ischnura	age_Nehalennia	extinction_rate	height_mol	root_age	speciation_rate
201	-8989.524	0	-8989.524	116.2967	104.7308	26.50501	0	15.06801	138.7541	0.04464311
202	-8984.953	0	-8984.953	107.3371	115.8902	29.15286	0	52.30299	149.3241	0.04373474
203	-8983.302	0	-8983.302	108.5517	96.8019	31.01743	0	79.8126	139.3801	0.04388554
204	-8986.986	0	-8986.986	108.5517	101.9469	33.29033	0	35.44266	142.5057	0.04388554
205	-8984.667	0	-8984.667	114.6981	101.9469	33.29033	0	83.36148	145.8616	0.04388554
206	-8984.657	0	-8984.657	103.9431	101.9469	40.36972	0	82.67109	131.5209	0.04388554
207	-8987.073	0	-8987.073	101.5334	91.08166	37.25902	0	41.83354	152.9283	0.04207094
208	-8977.758	0	-8977.758	98.02918	88.95169	46.06928	0	187.2482	145.4233	0.04530589
209	-8971.186	0	-8971.186	111.8277	87.33505	32.63407	0	96.3025	146.9271	0.04516743
210	-8964.395	0	-8964.395	108.354	89.84393	32.63407	0	79.09655	143.994	0.0446883
211	-8962.648	0	-8962.648	128.2118	89.84393	32.63407	0	165.6145	137.2959	0.04438603
212	-8964.344	0	-8964.344	128.2118	90.04866	46.06907	0	184.312	132.2027	0.04739337
213	-8960.81	0	-8960.81	125.6761	95.51257	44.90405	0	73.13282	130.272	0.0483735
214	-8974.847	0	-8974.847	106.1154	95.51257	49.78034	0	96.1698	137.8884	0.04351628
215	-8980.4	0	-8980.4	102.2099	97.86161	44.94085	0	56.66041	131.3468	0.04334581
216	-8975.979	0	-8975.979	113.1696	110.1231	30.72017	0	152.144	130.4898	0.04511273
217	-8974.264	0	-8974.264	109.7871	87.77177	31.01552	0	40.90282	161.0173	0.04281652
218	-8972.321	0	-8972.321	110.8202	92.47542	41.35116	0	48.1315	168.755	0.04467145
219	-8968.695	0	-8968.695	107.66	94.86086	40.63773	0	29.70777	150.726	0.04467145
220	-8983.098	0	-8983.098	105.051	97.5561	36.22373	0	154.016	127.8883	0.04394021
221	-8978.394	0	-8978.394	108.8162	100.3111	38.74435	0	79.9507	123.5939	0.04394021
222	-8969.988	0	-8969.988	108.8162	94.14097	32.94569	0	16.84379	124.6649	0.04394021
223	-8963.279	0	-8963.279	103.9675	89.59809	34.53193	0	33.59656	126.4706	0.04562896
224	-8963.503	0	-8963.503	103.9485	94.72119	28.29853	0	22.00193	127.2885	0.04562896
225	-8966.167	0	-8966.167	103.9485	104.6881	18.68343	0	176.2242	135.0734	0.04307253
226	-8971.784	0	-8971.784	107.7548	96.33578	26.45533	0	85.91136	152.3765	0.04239596
227	-8966.086	0	-8966.086	95.03722	99.88936	26.45533	0	8.472183	143.7514	0.04557507
228	-8958.779	0	-8958.779	111.0733	94.96967	26.45533	0	51.05154	136.3228	0.04557507
229	-8956.113	0	-8956.113	111.0733	105.9626	20.24666	0	58.76001	135.475	0.0474249
230	-8954.319	0	-8954.319	104.2016	96.67742	25.03187	0	37.273	138.4835	0.0474249
231	-8967.164	0	-8967.164	94.51098	94.12044	25.03187	0	34.95412	136.5741	0.0474249
232	-8959.134	0	-8959.134	92.23896	102.5574	19.39058	0	149.646	135.7178	0.04474309
233	-8964.158	0	-8964.158	101.875	109.3964	15.44089	0	69.75722	144.7024	0.04393351
234	-8964.993	0	-8964.993	112.8618	107.8464	28.04718	0	11.8034	159.4646	0.04652605
235	-8973.439	0	-8973.439	124.1268	103.378	24.04807	0	58.37684	162.1658	0.04471469
236	-8960.06	0	-8960.06	100.8871	103.0086	20.32103	0	135.3653	151.9432	0.04544479
237	-8963.299	0	-8963.299	100.84	91.6782	22.96303	0	98.34075	144.2124	0.04544479
238	-8963.932	0	-8963.932	118.5765	92.68192	32.66743	0	181.5198	167.6122	0.04544479
