Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation[12]	speciation[13]	speciation[14]	speciation[15]	speciation[16]	speciation[17]	speciation[18]	speciation[19]	speciation[20]
730	-5859.706	-5870.983	11.27775	0.0384937	0.039905	0.0412379	0.0450353	0.0458767	0.0513912	0.0513153	0.0513198	0.0647472	0.0646761	0.0637931	0.0631788	0.0802161	0.105513	0.104968	0.151657	0.153266	0.248686	0.244589	0.249602
740	-5883.621	-5871.942	-11.67891	0.0381018	0.0324845	0.0326953	0.0384957	0.0533031	0.0623139	0.0635965	0.0630166	0.0629252	0.0642404	0.072078	0.0783952	0.0768263	0.0903187	0.0942789	0.0904182	0.091783	0.221167	0.216736	0.224333
750	-5893.41	-5870.291	-23.11875	0.0410284	0.0407081	0.0395624	0.0379904	0.0493509	0.0489494	0.0490847	0.0717383	0.0714215	0.0647827	0.0711987	0.0713253	0.0824111	0.0946571	0.0947438	0.103068	0.103779	0.189028	0.189784	0.192652
760	-5868.855	-5869.54	0.6846325	0.0452522	0.0452302	0.0473194	0.0487631	0.0536839	0.0530247	0.0530006	0.0729667	0.0713309	0.0711785	0.0687696	0.0624445	0.0633927	0.113393	0.131235	0.132467	0.132347	0.246905	0.250341	0.265312
770	-5877.154	-5870.454	-6.700002	0.0413243	0.0407236	0.0407608	0.0408582	0.0449489	0.0436174	0.044391	0.0681892	0.0678597	0.0677742	0.0665926	0.0519382	0.0524498	0.145631	0.145305	0.14595	0.146471	0.173591	0.171436	0.166306
780	-5957.105	-5871.885	-85.22009	0.0423384	0.0411937	0.0417255	0.0418167	0.0470036	0.0498784	0.051421	0.0519199	0.0491929	0.058766	0.059369	0.060245	0.0624518	0.111782	0.112672	0.106545	0.126589	0.249376	0.237684	0.228712
790	-5916.957	-5873.751	-43.20568	0.0422081	0.042109	0.0426493	0.0432073	0.0503268	0.0503886	0.0507654	0.0465606	0.0606252	0.0700455	0.0681198	0.0658169	0.0599052	0.0755984	0.0699116	0.0862642	0.179769	0.186974	0.199782	0.195362
800	-5923.333	-5869.431	-53.90204	0.0453179	0.0461083	0.0396988	0.0386702	0.0553625	0.0555596	0.0567536	0.0697374	0.07016	0.0765691	0.0722513	0.0604493	0.0564985	0.121137	0.134321	0.161635	0.162836	0.158456	0.159002	0.154
810	-5877.813	-5868.468	-9.345141	0.0421671	0.0429124	0.0423347	0.0424688	0.0559019	0.0570302	0.0595125	0.0719484	0.0733143	0.0712763	0.0720257	0.0630891	0.0747287	0.134149	0.14858	0.148307	0.152541	0.151567	0.14862	0.161518
820	-5878.604	-5869.488	-9.116478	0.0419382	0.0424245	0.0425885	0.0425022	0.0649784	0.0634927	0.0645988	0.080471	0.0804911	0.082864	0.0840168	0.089521	0.0911485	0.129117	0.126549	0.128782	0.156745	0.168741	0.16827	0.17276
830	-5861.891	-5870.386	8.494578	0.0425745	0.0423824	0.0415943	0.0415156	0.0625208	0.0623464	0.0635152	0.0749728	0.0744599	0.0741915	0.0741789	0.0683477	0.0748303	0.161355	0.172167	0.173914	0.173698	0.177188	0.17759	0.172839
840	-5882.696	-5872.442	-10.25381	0.036871	0.0355726	0.0355914	0.03561	0.0715402	0.0714163	0.0747343	0.0790817	0.0780557	0.0760393	0.0751875	0.0698086	0.0711983	0.133886	0.142349	0.142301	0.141835	0.141493	0.14098	0.141304
850	-5866.622	-5871.271	4.649426	0.0377124	0.0371839	0.0379282	0.0380931	0.0496027	0.049565	0.0513727	0.062594	0.0631802	0.0645031	0.0678101	0.0638651	0.0686826	0.101242	0.101589	0.10016	0.0997919	0.101016	0.0990673	0.0990622
860	-5824.818	-5871.551	46.73252	0.0405811	0.0406774	0.0420943	0.0425859	0.0489709	0.049727	0.0579992	0.0592235	0.0589202	0.0583055	0.0581801	0.0549109	0.0671141	0.114089	0.114975	0.115124	0.11298	0.119095	0.106443	0.106214
870	-5854.085	-5872.058	17.97254	0.041859	0.0427368	0.0375131	0.0375098	0.0605438	0.0565451	0.0659143	0.0719639	0.079098	0.0751041	0.0747099	0.0844603	0.0892459	0.130053	0.137834	0.137265	0.139152	0.14698	0.27151	0.264569
