Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]
770	-6223.232	-6149.029	-74.20297	0.0173367	0.0145493	0.0154495	0.00727501	0.00235791	0.000277757	0.000123532	0.000147389	0.000715523	0.000616682	0.000618237	0.00197818	1.01751e-05	4.56439e-06	1.61182e-06	2.8179e-06	2.68924e-06	2.52398e-06	7.26974e-06	9.33658e-06
780	-6223.223	-6151.804	-71.41889	0.0351347	1.8575e-06	2.34455e-07	7.52633e-06	5.23656e-06	4.00104e-06	1.2465e-05	1.23649e-05	1.22655e-05	1.3528e-05	1.22179e-05	1.12458e-05	3.36019e-07	1.51189e-07	1.53395e-07	2.24313e-07	2.13494e-07	2.5769e-07	1.35406e-07	5.07417e-07
790	-6206.037	-6154.581	-51.45535	6.06622e-05	6.61273e-05	8.37137e-05	9.28125e-06	8.15446e-06	8.53769e-06	9.04048e-06	7.42299e-06	9.29405e-06	9.40643e-06	8.03363e-06	5.06474e-06	5.21317e-06	5.22463e-06	3.49472e-06	3.07067e-06	5.3228e-06	6.96529e-06	7.37496e-06	5.78765e-06
800	-6181.915	-6153.628	-28.28738	0.00428492	0.00448376	0.00449207	0.00444888	0.00445537	0.00457554	0.00459663	0.0045927	8.5123e-05	0.0001692	0.000169485	0.000167558	0.000173871	0.000172051	0.000172612	0.000169161	0.000174038	0.000174465	0.000174758	0.0001749
810	-6162.451	-6148.936	-13.51573	0.00573532	0.00564719	0.00515581	0.00547988	0.00558439	0.00543705	0.00627707	0.006525	0.00652243	0.00646922	0.00641424	0.00639859	0.00645718	0.00651685	0.00640611	0.00641823	0.00740459	0.00943781	0.00912929	0.00893853
820	-6161.616	-6151.594	-10.02171	0.00023373	0.00022167	0.000219538	0.000216661	0.000132889	0.000132568	0.00012928	0.000128934	0.000125317	0.000138323	0.000139258	0.000139151	0.000138297	0.000141479	0.00014101	0.000141248	0.000141409	0.000141478	0.000130148	0.000129754
830	-6180.12	-6149.997	-30.12288	0.00133208	0.00140301	0.000961873	0.000976032	0.000954508	0.00100344	0.0010223	0.0010242	0.0010137	0.00101106	0.00100148	0.000918938	0.000914873	0.000919247	0.000751517	0.000787006	0.000772977	0.000774768	0.00078154	0.000785086
840	-6211.097	-6150.89	-60.20709	0.000566886	0.00050853	0.000555467	0.000541179	0.00395767	0.00365631	0.00365735	0.00369919	0.00404057	0.00296588	0.00281991	0.00271814	0.00251614	0.00255255	0.00255143	0.00304229	0.00311558	0.00427954	0.00435444	0.00446938
850	-6175.253	-6151.915	-23.33867	0.000148159	0.000145806	0.000145563	0.00014886	0.000203674	0.000197227	0.00060842	0.000578517	0.000580647	0.00372185	0.0035622	0.00357115	0.00395511	0.00398354	0.00420415	0.0042404	0.00421774	0.00423361	0.00426221	0.00417483
860	-6134.46	-6153.307	18.84675	0.000128995	0.000128844	0.000125495	0.000125654	0.000117025	0.000111617	0.00011151	0.000111281	0.000111415	0.000110279	0.000110084	0.00011107	0.000114758	0.000115271	0.00011589	0.000114499	0.00011462	0.000114637	0.000114979	0.000115023
870	-6169.499	-6151.431	-18.0679	0.00633698	0.00630418	0.00617151	0.00612341	0.00586793	0.00580322	0.00582146	0.00594868	0.00597396	0.00597594	0.00607034	0.00548747	0.00550197	0.00555809	0.0054943	0.0055583	0.00563321	0.00578399	0.00586404	0.0058522
