Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]	interval_times[10]	interval_times[11]	interval_times[12]	interval_times[13]	interval_times[14]	interval_times[15]	interval_times[16]	interval_times[17]	interval_times[18]	interval_times[19]
990	-6102.21	-6150.983	48.77341	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
1000	-6192.337	-6154.507	-37.82964	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
1010	-6181.802	-6152.602	-29.20033	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
1020	-6146.038	-6150.335	4.297386	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
1030	-6147.002	-6152.687	5.684462	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
1040	-6160.655	-6148.314	-12.34117	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
1050	-6164.18	-6151.495	-12.68491	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
1060	-6200.306	-6148.93	-51.37556	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
1070	-6174.555	-6149.03	-25.52502	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
1080	-6130.778	-6149.048	18.27002	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
1090	-6156.88	-6154.588	-2.291959	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
1100	-6176.494	-6153.248	-23.24565	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
1110	-6158.342	-6149.716	-8.626612	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
1120	-6178.449	-6152.986	-25.46304	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
1130	-6148.91	-6154.421	5.511648	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
1140	-6198.793	-6150.517	-48.27643	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
1150	-6177.824	-6158.97	-18.85376	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
